	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
trehalaseFUNC_PR58754	0	5	0	0	1	20	0	0	0	1	0	0
trehalase-domain-containing proteinFUNC_PR58755	0	0	0	0	0	0	0	1	0	0	0	0
trehalase, partialFUNC_PR58756	0	0	0	0	0	3	0	0	0	0	0	0
trehalose 6-phosphate phosphorylaseFUNC_PR58757	0	0	0	0	0	3	0	0	0	0	0	0
trehalose 6-phosphate synthaseFUNC_PR58758	3	7	0	0	1	2	0	0	0	0	0	0
trehalose 6-phosphate synthase complex regulatory subunitFUNC_PR58759	5	3	0	0	0	10	0	0	0	0	0	0
trehalose 6-phosphate synthase/phosphataseFUNC_PR58760	2	0	0	0	0	1	0	0	0	3	0	0
trehalose 6-phosphate synthase/phosphatase complex subunitFUNC_PR58761	28	24	0	185	334	6	20	176	88	413	260	3
trehalose operon repressorFUNC_PR58762	4	0	0	0	1	0	0	0	0	0	0	0
trehalose phosphataseFUNC_PR58763	0	0	0	0	0	1	0	0	0	0	0	0
trehalose phosphatase, partialFUNC_PR58764	0	0	0	1	0	0	0	0	0	0	0	0
trehalose phosphorylaseFUNC_PR58765	0	0	0	0	0	10	0	0	0	0	0	0
trehalose synthaseFUNC_PR58766	21	29	0	3	8	41	0	1	0	7	0	0
trehalose utilization protein ThuAFUNC_PR58767	0	0	0	0	0	0	0	0	0	0	0	1
trehalose-6-phosphate synthaseFUNC_PR58768	18	15	0	0	8	38	0	0	0	9	0	4
trehalose-6-phosphate synthase, partialFUNC_PR58769	19	11	1	0	4	39	0	0	0	17	0	3
trehalose-binding proteinFUNC_PR58770	0	0	0	0	2	6	0	0	0	0	0	0
trehalose-phosphataseFUNC_PR58771	13	11	0	0	14	84	0	1	0	17	0	16
trehalose-phosphatase TPS2FUNC_PR58772	0	8	0	14	47	5	5	19	11	42	19	0
treponemal membrane protein B-likeFUNC_PR58773	1	0	0	0	0	5	0	0	0	0	0	0
Trf5FUNC_PR58774	0	0	0	0	1	0	0	2	3	6	2	0
Tri1pFUNC_PR58775	0	0	0	1	1	0	0	1	0	2	1	0
triacylglycerol lipaseFUNC_PR58776	24	50	0	28	117	66	6	19	30	104	46	6
triacylglycerol lipase II precursorFUNC_PR58777	0	0	0	0	0	0	2	0	0	0	0	0
triacylglycerol lipase SDP1-likeFUNC_PR58778	8	0	0	0	0	0	0	0	0	0	0	0
triacylglycerol lipase, partialFUNC_PR58779	2	0	0	0	1	4	0	0	0	1	0	0
Triacylglycerol lipase, putativeFUNC_PR58780	0	0	0	1	0	0	0	0	0	0	0	0
tributyrin esteraseFUNC_PR58781	0	0	0	0	0	1	0	0	0	0	0	0
tributyrin esterase, partialFUNC_PR58782	0	0	0	0	0	0	0	0	0	2	0	0
TRIC cation channel family proteinFUNC_PR58783	0	0	0	0	0	0	0	0	0	0	1	0
tricalbinFUNC_PR58784	9	3	0	35	44	13	16	32	28	111	13	0
tricarballylate dehydrogenaseFUNC_PR58785	0	0	0	0	0	0	0	0	0	1	0	0
tricarballylate utilization protein TcuBFUNC_PR58786	1	8	1	0	4	3	0	0	0	0	0	0
tricarboxylate transport protein, mitochondrial-likeFUNC_PR58787	0	0	0	0	0	0	0	0	0	2	0	0
tricarboxylate transporterFUNC_PR58788	10	1	0	0	0	1	0	0	0	0	3	15
tricarboxylic transport membrane proteinFUNC_PR58789	0	0	0	0	0	0	0	0	0	2	0	0
tricarboxylic transporterFUNC_PR58790	4	0	0	0	0	27	1	0	0	2	0	0
Trichodiene oxygenaseFUNC_PR58791	0	0	0	0	0	1	0	0	0	0	0	0
trichohyalin-likeFUNC_PR58792	0	0	0	0	1	0	0	1	0	0	0	0
tricorn proteaseFUNC_PR58793	0	0	0	0	0	0	0	0	0	1	1	0
tricorn protease domain 2-containing proteinFUNC_PR58794	1	0	0	0	0	0	0	0	0	0	0	0
tricorn protease, partialFUNC_PR58795	2	0	0	0	0	15	0	0	0	0	0	0
tridomain enzyme adenylation-thiolation-dehydrogenaseFUNC_PR58796	0	0	0	0	1	0	0	0	0	0	0	0
trifunctional aldehyde reductase/carbonyl reductase (NADPH)/glucose 1-dehydrogenase (NADP(+)) YPR1FUNC_PR58797	4	2	0	20	20	0	11	17	11	52	8	0
trifunctional aldehyde reductase/xylose reductase/glucose 1-dehydrogenase (NADP(+))FUNC_PR58798	2	1	0	21	33	2	2	6	18	45	12	0
trifunctional dihydropteroate synthetase/dihydrohydroxymethylpterin pyrophosphokinase/dihydroneopterin aldolase FOL1FUNC_PR58799	7	0	0	10	5	0	4	8	4	22	0	0
trifunctional fatty acid synthase subunit FAS2FUNC_PR58800	169	23	0	201	300	60	35	95	74	263	147	2
trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase ADE3FUNC_PR58801	22	8	0	71	75	13	28	86	24	139	31	1
trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1FUNC_PR58802	24	0	0	4	12	0	8	18	11	20	4	0
trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphataseFUNC_PR58803	18	4	0	29	115	12	11	16	18	72	41	0
trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminaseFUNC_PR58804	1	0	0	9	13	5	2	3	5	34	8	0
trifunctional nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase/transcriptional regulator NadRFUNC_PR58805	2	0	0	0	0	0	0	0	0	1	0	0
trifunctional protein, partialFUNC_PR58806	0	0	0	0	0	0	0	0	0	1	0	0
trifunctional thioredoxin/methionine sulfoxide reductase A/B protein, partialFUNC_PR58807	0	0	0	0	0	0	0	0	0	2	0	0
trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenaseFUNC_PR58808	3	17	1	3	13	24	5	6	2	26	0	3
trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase, partialFUNC_PR58809	3	0	0	0	0	0	1	0	0	4	0	0
trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1FUNC_PR58810	6	0	0	0	0	0	0	0	0	0	0	0
trifunctional uridine nucleosidase/nicotinamide riboside hydrolase/nicotinic acid riboside hydrolaseFUNC_PR58811	17	7	0	9	25	0	2	4	4	32	8	0
trigger factorFUNC_PR58812	41	33	1	5	26	117	2	6	0	64	4	54
trigger factor, partialFUNC_PR58813	0	1	0	0	0	1	0	0	2	5	0	1
triglyceride lipaseFUNC_PR58814	14	21	0	94	221	94	7	57	81	228	153	6
triglyceride lipase ATG15FUNC_PR58815	0	6	0	84	93	12	7	20	29	118	46	2
trihelix transcription factor ASIL1FUNC_PR58816	8	0	0	0	0	0	0	0	0	0	0	0
trihelix transcription factor ASIL1-likeFUNC_PR58817	3	0	0	0	2	0	0	1	0	0	0	0
trihelix transcription factor ASIL2FUNC_PR58818	2	2	0	0	0	0	2	0	0	0	0	0
trihelix transcription factor ASIL2-like isoform X4FUNC_PR58819	1	0	0	0	0	0	0	0	0	0	0	0
trihelix transcription factor ASIL2-like, partialFUNC_PR58820	2	2	0	0	0	0	0	0	0	0	0	0
trihelix transcription factor ASR3FUNC_PR58821	1	0	0	0	0	0	0	0	0	0	0	0
trihelix transcription factor GT-2-likeFUNC_PR58822	0	0	0	0	0	0	0	0	0	1	0	0
trihelix transcription factor GTL1 isoform X1FUNC_PR58823	2	0	0	0	0	0	0	0	0	0	0	0
trihelix transcription factor PTL-likeFUNC_PR58824	1	0	0	0	0	0	0	0	0	0	0	0
trihydroxynaphthalene reductase, variantFUNC_PR58825	0	0	0	0	0	0	0	0	1	0	0	0
trimeric autotransporter adhesinFUNC_PR58826	0	0	0	0	1	0	0	0	0	0	0	0
trimeric LpxA-like proteinFUNC_PR58827	0	0	0	0	0	0	0	1	0	0	0	0
trimethylamine methyltransferaseFUNC_PR58828	2	0	0	1	0	12	0	0	0	1	0	11
trimethylamine methyltransferase family proteinFUNC_PR58829	0	0	0	0	0	1	0	0	0	0	0	1
trimethylamine N-oxide reductase I catalytic subunit, partialFUNC_PR58830	1	0	0	0	0	0	0	0	0	0	0	0
triose phosphate/phosphate translocator, non-green plastid, chloroplastic-likeFUNC_PR58831	8	4	0	0	0	0	0	0	0	0	0	0
triose-phosphate isomeraseFUNC_PR58832	31	20	3	3	16	75	4	4	6	47	3	20
triose-phosphate isomerase TPI1FUNC_PR58833	389	156	0	496	432	71	50	88	122	619	250	4
triose-phosphate isomerase, partialFUNC_PR58834	4	0	0	0	0	0	0	0	0	0	0	0
triose/dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)FUNC_PR58835	0	0	0	0	0	3	0	0	0	0	0	0
triosephosphate isomeraseFUNC_PR58836	0	0	0	1	0	0	0	0	0	1	0	0
Triosephosphate isomeraseFUNC_PR58837	3	0	0	1	2	0	4	5	2	1	1	1
triosephosphate isomerase (TIM)FUNC_PR58838	0	0	0	0	0	0	0	0	0	1	0	0
triosephosphate isomerase-likeFUNC_PR58839	2	0	0	1	5	0	1	2	1	0	0	0
triosephosphate isomerase, chloroplastic isoform X1FUNC_PR58840	3	0	0	0	0	0	0	0	0	0	0	0
triosephosphate isomerase, chloroplastic isoform X2FUNC_PR58841	1	0	0	0	0	0	0	0	0	0	0	0
triosephosphate isomerase, cytosolicFUNC_PR58842	0	0	0	0	0	0	1	0	0	0	0	0
tripartite tricarboxylate transporter permeaseFUNC_PR58843	8	7	0	1	4	7	0	0	0	2	0	2
tripartite tricarboxylate transporter substrate binding proteinFUNC_PR58844	80	110	1	2	10	87	1	2	0	9	1	127
tripartite tricarboxylate transporter substrate binding protein BugDFUNC_PR58845	0	0	0	0	3	0	0	0	0	0	0	8
tripartite tricarboxylate transporter substrate binding protein BugEFUNC_PR58846	0	0	0	0	0	1	0	0	0	0	0	4
tripartite tricarboxylate transporter substrate binding protein, partialFUNC_PR58847	2	5	0	0	0	4	0	0	0	0	0	0
tripartite tricarboxylate transporter TctAFUNC_PR58848	10	7	0	0	0	30	0	0	0	5	0	0
tripartite tricarboxylate transporter TctA family proteinFUNC_PR58849	0	0	0	0	1	2	0	0	0	0	0	0
tripartite tricarboxylate transporter TctB family proteinFUNC_PR58850	8	2	1	1	6	6	0	0	0	3	0	7
tripartite tricarboxylate transporter TctB family protein, partialFUNC_PR58851	0	0	0	0	0	0	0	0	0	2	0	0
tripeptidyl-peptidase 1 precursorFUNC_PR58852	0	0	0	0	1	1	0	0	1	0	0	0
Tripeptidyl-peptidase 1 precursor proteinFUNC_PR58853	0	0	0	0	0	0	0	1	0	0	0	0
tripeptidyl-peptidase IIFUNC_PR58854	1	1	0	0	0	1	0	0	0	0	0	0
triphosphate tunnel metalloenzyme 3-likeFUNC_PR58855	0	1	0	0	0	0	0	0	0	0	0	0
triphosphoribosyl-dephospho-CoA synthaseFUNC_PR58856	0	0	0	0	0	0	0	0	0	5	2	3
triphosphoribosyl-dephospho-CoA synthase CitGFUNC_PR58857	0	0	0	0	0	0	0	0	0	1	0	0
triphosphoribosyl-dephospho-CoA synthase, partialFUNC_PR58858	0	0	0	0	1	0	0	0	0	0	0	0
Trk family potassium uptake proteinFUNC_PR58859	0	1	0	0	0	2	0	0	0	1	0	0
Trk system potassium transport protein TrkAFUNC_PR58860	10	3	1	2	4	14	1	0	1	6	1	9
Trk system potassium transport protein TrkA, partialFUNC_PR58861	0	5	0	0	1	1	0	0	0	1	0	4
Trk system potassium transporter TrkAFUNC_PR58862	0	5	0	0	0	3	0	0	0	0	0	0
Trk system potassium transporter TrkHFUNC_PR58863	0	0	0	0	0	2	0	0	0	0	0	0
trk system potassium uptake protein trkAFUNC_PR58864	0	6	0	0	0	0	0	0	0	0	0	0
Trk system potassium uptake protein TrkGFUNC_PR58865	5	0	0	0	0	0	0	0	0	0	0	0
Trk1FUNC_PR58866	0	0	0	3	1	0	1	0	0	3	0	0
TRK1-like proteinFUNC_PR58867	0	1	0	1	0	0	0	0	0	0	0	0
Trk1pFUNC_PR58868	2	4	0	21	25	3	4	9	16	41	18	0
Trk2FUNC_PR58869	0	0	0	1	3	0	0	0	0	3	0	0
Trk2pFUNC_PR58870	11	1	0	22	25	6	6	8	7	57	13	1
TrkAFUNC_PR58871	0	0	0	0	0	0	0	0	0	1	0	0
TrkA C-terminal domain-containing proteinFUNC_PR58872	0	8	0	0	1	0	0	0	0	1	0	0
TrkA family potassium uptake proteinFUNC_PR58873	12	12	0	0	0	0	0	0	0	0	1	4
TrkA proteinFUNC_PR58874	0	0	0	0	1	0	0	0	0	0	0	0
TrkA, potassium transporterFUNC_PR58875	4	0	0	0	0	0	0	0	0	0	0	0
TrkH family potassium uptake proteinFUNC_PR58876	13	8	1	0	5	21	0	0	0	0	0	4
Trm1FUNC_PR58877	0	0	0	1	4	0	1	5	2	2	1	0
TRM1-like proteinFUNC_PR58878	0	0	0	0	0	0	0	1	1	0	0	0
Trm10FUNC_PR58879	0	0	0	0	2	0	0	2	0	1	0	0
Trm11FUNC_PR58880	3	0	0	1	4	0	0	0	0	2	0	0
TRM11-like proteinFUNC_PR58881	0	0	0	1	1	0	0	0	0	0	0	0
Trm112FUNC_PR58882	0	0	0	0	1	0	0	0	0	1	2	0
TRM112-like proteinFUNC_PR58883	0	0	0	0	0	0	1	0	0	0	0	0
Trm2FUNC_PR58884	0	0	0	0	0	0	0	0	0	1	1	0
Trm3FUNC_PR58885	0	0	0	0	0	0	0	2	2	2	0	0
Trm44FUNC_PR58886	0	0	0	3	5	0	1	3	2	10	0	0
TRM44-like proteinFUNC_PR58887	0	0	0	2	0	0	0	0	0	0	0	0
Trm5FUNC_PR58888	1	0	0	3	3	0	0	0	0	4	2	0
TRM5-like proteinFUNC_PR58889	0	0	0	0	0	0	0	1	0	0	0	0
Trm7FUNC_PR58890	3	0	0	0	2	0	0	0	1	5	0	0
TRM7-like proteinFUNC_PR58891	2	0	0	0	1	1	0	2	0	3	1	0
Trm8FUNC_PR58892	2	0	0	3	1	2	0	0	3	4	3	0
TRM8-like proteinFUNC_PR58893	0	0	0	0	0	0	1	0	0	1	0	0
Trm82pFUNC_PR58894	2	0	0	0	2	1	3	2	1	0	0	0
Trm9FUNC_PR58895	0	0	0	1	1	0	0	2	0	1	1	0
TrmB family transcriptional regulatorFUNC_PR58896	1	1	0	0	1	0	0	0	0	5	3	9
TrmH family RNA methyltransferaseFUNC_PR58897	0	0	0	0	1	0	0	0	0	0	0	0
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferaseFUNC_PR58898	1	0	0	0	0	0	0	0	0	0	0	1
tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunitFUNC_PR58899	0	0	0	0	1	5	0	0	0	0	0	0
tRNA (adenine-N1)-methyltransferaseFUNC_PR58900	5	0	0	0	2	9	0	0	0	0	0	0
tRNA (adenine(22)-N(1))-methyltransferase TrmKFUNC_PR58901	0	0	0	0	0	1	0	0	0	0	0	0
tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit trm61FUNC_PR58902	0	0	0	0	1	0	0	0	0	0	0	0
tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit trm61-likeFUNC_PR58903	0	0	0	0	1	0	0	0	0	0	0	0
tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61AFUNC_PR58904	0	0	0	0	0	0	0	0	0	2	0	0
tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit trm6FUNC_PR58905	0	0	0	0	0	0	0	1	0	0	0	0
tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunitFUNC_PR58906	0	2	0	0	0	0	0	0	0	0	0	0
tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaAFUNC_PR58907	21	25	0	2	15	89	0	2	0	15	2	8
tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA, partialFUNC_PR58908	0	0	0	0	0	5	0	0	0	0	0	0
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaEFUNC_PR58909	24	12	0	1	6	36	2	2	1	8	2	2
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaBFUNC_PR58910	8	17	0	0	9	32	0	0	0	8	1	25
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB, partialFUNC_PR58911	3	0	0	0	6	13	0	0	0	7	0	2
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaDFUNC_PR58912	15	54	1	2	34	149	2	2	2	23	0	25
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD, partialFUNC_PR58913	0	0	0	0	1	8	0	0	0	7	0	9
tRNA (carboxymethyluridine(34)-5-O)-methyltransferaseFUNC_PR58914	1	0	0	3	11	9	2	5	3	11	7	0
tRNA (cmo5U34)-methyltransferaseFUNC_PR58915	1	0	0	0	0	0	0	0	0	0	0	0
tRNA (cytidine32/guanosine34-2'-O)-methyltransferaseFUNC_PR58916	1	0	0	0	1	0	0	1	0	0	0	0
tRNA (cytosine-C5-)-methyltransferaseFUNC_PR58917	0	1	0	0	1	0	3	6	2	8	0	0
tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJFUNC_PR58918	0	1	0	2	0	0	0	2	1	5	0	0
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6FUNC_PR58919	1	0	0	0	0	0	0	0	0	0	0	0
tRNA (cytosine34-C5)-methyltransferaseFUNC_PR58920	4	0	0	0	1	0	0	0	0	0	0	0
tRNA (guanine-N(7)-)-methyltransferaseFUNC_PR58921	2	0	0	0	1	5	0	0	0	0	0	0
tRNA (guanine-N(7)-)-methyltransferase subunit TRM82FUNC_PR58922	3	0	0	0	0	0	0	0	0	0	0	0
tRNA (guanine-N1)-methyltransferase, partialFUNC_PR58923	1	0	0	0	0	0	0	0	0	0	0	0
tRNA (guanine-N2-)-methyltransferaseFUNC_PR58924	3	0	0	1	2	0	1	1	0	6	1	0
tRNA (guanine-N7-)-methyltransferaseFUNC_PR58925	0	0	0	0	0	3	0	0	0	0	0	0
tRNA (guanine(10)-N2)-methyltransferase homologFUNC_PR58926	2	0	0	0	0	0	0	0	0	0	0	0
tRNA (guanine(26)-N(2))-dimethyltransferaseFUNC_PR58927	1	0	0	0	1	0	0	0	0	0	0	3
tRNA (guanine(37)-N(1))-methyltransferaseFUNC_PR58928	4	18	0	0	1	16	0	0	0	10	1	0
tRNA (guanine(46)-N(7))-methyltransferaseFUNC_PR58929	0	1	0	0	2	8	0	1	0	1	0	0
tRNA (guanine(46)-N(7))-methyltransferase TrmB, partialFUNC_PR58930	0	0	0	0	0	2	0	0	0	0	0	0
tRNA (guanine(9)-N(1))-methyltransferaseFUNC_PR58931	2	0	0	2	1	1	1	4	2	9	2	0
tRNA (guanine) methyltransferaseFUNC_PR58932	12	4	0	11	78	27	22	41	8	37	25	1
tRNA (guanine10-N2)-methyltransferaseFUNC_PR58933	3	1	0	0	0	17	0	0	0	0	0	0
tRNA (guanine26-N2)-dimethyltransferaseFUNC_PR58934	3	0	0	8	12	4	2	6	5	15	8	0
tRNA (guanine26-N2/guanine27-N2)-dimethyltransferaseFUNC_PR58935	0	6	1	0	0	0	0	0	0	0	0	0
tRNA (guanine37-N1)-methyltransferaseFUNC_PR58936	8	0	0	0	0	0	0	0	0	0	0	0
tRNA (guanine46-N7)-methyltransferaseFUNC_PR58937	0	0	0	0	1	1	0	5	1	4	2	0
tRNA (guanine9-N1)-methyltransferaseFUNC_PR58938	0	0	0	1	0	0	0	0	0	0	0	0
tRNA (guanosine(18)-2'-O)-methyltransferaseFUNC_PR58939	15	0	0	6	9	0	6	3	2	12	3	0
tRNA (guanosine(18)-2'-O)-methyltransferase TrmH, partialFUNC_PR58940	0	0	0	0	0	0	0	0	0	1	0	0
tRNA (guanosine(37)-N1)-methyltransferase TrmDFUNC_PR58941	7	20	1	1	8	35	8	10	2	48	2	6
tRNA (guanosine(46)-N7)-methyltransferase TrmBFUNC_PR58942	53	32	0	0	27	84	1	0	0	25	0	0
tRNA (guanosine(46)-N7)-methyltransferase TrmB, partialFUNC_PR58943	0	0	0	0	0	2	0	0	0	0	0	0
tRNA (mo5U34)-methyltransferaseFUNC_PR58944	0	0	0	0	0	0	0	0	0	2	0	0
tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferaseFUNC_PR58945	5	2	0	0	0	3	0	0	0	0	0	0
tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaBFUNC_PR58946	5	4	0	1	0	42	0	0	0	5	0	0
tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase TsaEFUNC_PR58947	0	8	0	0	0	0	0	0	0	0	0	0
tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaBFUNC_PR58948	31	46	0	4	10	178	0	1	0	32	1	11
tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB, partialFUNC_PR58949	2	4	0	0	1	10	0	0	0	1	0	0
tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmOFUNC_PR58950	0	0	0	0	0	11	0	0	0	5	0	1
tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO, partialFUNC_PR58951	0	0	0	0	0	0	0	0	0	1	0	0
tRNA (uracil-5-)-methyltransferaseFUNC_PR58952	0	6	0	0	0	0	0	0	0	0	0	0
tRNA (uracil-5-)-methyltransferase Gid, partialFUNC_PR58953	0	0	0	0	0	1	0	0	0	0	0	0
tRNA (uracil-5-)-methyltransferase TRM9FUNC_PR58954	0	0	0	0	2	2	0	0	0	0	0	0
tRNA (Uracil-5-)-methyltransferase, partialFUNC_PR58955	1	0	0	0	0	0	0	0	0	0	0	0
tRNA (uracil-O(2)-)-methyltransferase-likeFUNC_PR58956	0	1	0	0	0	0	0	0	0	0	0	0
tRNA (uracil(54)-C(5))-methyltransferaseFUNC_PR58957	6	1	0	14	30	0	3	9	5	41	12	0
tRNA (uracil) methyltransferaseFUNC_PR58958	1	0	0	7	3	0	5	5	4	2	3	0
tRNA (uridine-2'-O-)-methyltransferase TRM7FUNC_PR58959	0	0	0	0	0	0	0	0	0	1	0	0
tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmLFUNC_PR58960	4	5	0	0	2	26	0	0	0	4	1	11
tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL, partialFUNC_PR58961	0	0	0	0	0	0	0	0	0	1	0	0
tRNA (uridine(54)-C5)-methyltransferase TrmAFUNC_PR58962	1	0	0	0	0	2	1	0	0	3	0	1
tRNA (uridine(54)-C5)-methyltransferase TrmA, partialFUNC_PR58963	0	0	0	0	0	0	0	0	0	0	2	0
tRNA 1-methyladenosine methyltransferase subunit GCD10FUNC_PR58964	7	0	0	6	12	0	6	4	4	10	4	0
tRNA 1-methyladenosine methyltransferase subunit GCD14FUNC_PR58965	6	0	0	5	6	0	7	6	4	9	4	0
tRNA 2-methylthio-N6-isopentenyl adenosine(37) hydroxylase MiaE-like proteinFUNC_PR58966	1	0	0	0	1	0	0	0	0	0	0	0
tRNA 2-selenouridine(34) synthase MnmHFUNC_PR58967	6	6	0	1	0	19	2	0	0	7	0	1
tRNA 2-selenouridine(34) synthase MnmH, partialFUNC_PR58968	0	13	0	0	0	0	0	0	0	0	0	0
tRNA 2-thiocytidine biosynthesis protein TtcAFUNC_PR58969	3	0	0	0	1	0	0	0	0	0	0	6
tRNA 2-thiocytidine biosynthesis protein TtcA, partialFUNC_PR58970	0	0	0	0	0	0	0	0	0	1	0	0
tRNA 2-thiocytidine(32) synthetase TtcAFUNC_PR58971	2	10	1	0	2	62	0	0	0	3	0	11
tRNA 2-thiocytidine(32) synthetase TtcA, partialFUNC_PR58972	0	0	0	0	1	1	0	0	0	0	0	1
tRNA 2-thiouridine(34) synthase MnmAFUNC_PR58973	32	14	1	2	24	109	0	2	0	31	5	32
tRNA 2-thiouridine(34) synthase MnmA, partialFUNC_PR58974	4	0	2	1	0	11	0	0	0	3	0	0
tRNA 2'-phosphotransferaseFUNC_PR58975	0	0	0	4	1	0	0	0	1	12	5	0
tRNA 4-thiouridine(8) synthase ThiIFUNC_PR58976	3	3	0	1	2	38	1	1	0	25	0	4
tRNA 4-thiouridine(8) synthase ThiI, partialFUNC_PR58977	0	0	0	0	0	1	0	0	0	0	0	1
tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoBFUNC_PR58978	1	2	0	0	0	14	0	0	0	1	0	0
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis mnmCFUNC_PR58979	0	0	0	0	0	1	0	0	0	0	0	0
tRNA A64-2'-O-ribosylphosphate transferaseFUNC_PR58980	0	5	0	5	11	13	0	1	5	10	2	0
tRNA acetyltransferase TAN1FUNC_PR58981	1	0	0	0	0	0	0	0	0	0	0	0
tRNA adenosine deaminaseFUNC_PR58982	5	4	0	2	3	7	0	0	0	7	0	9
tRNA adenosine deaminase-associated proteinFUNC_PR58983	0	0	0	0	0	1	0	0	0	0	0	0
tRNA adenosine(34) deaminase TadAFUNC_PR58984	9	9	0	0	1	10	0	0	1	1	0	2
tRNA adenylyltransferaseFUNC_PR58985	7	0	0	3	15	0	4	4	3	10	14	0
tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdAFUNC_PR58986	0	0	0	0	0	2	1	1	0	0	0	0
tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA, partialFUNC_PR58987	1	0	0	0	0	0	0	0	0	0	0	0
tRNA delta(2)-isopentenylpyrophosphate transferaseFUNC_PR58988	0	8	0	0	0	0	0	0	0	0	0	0
tRNA dihydrouridine synthaseFUNC_PR58989	3	1	0	10	19	0	2	9	5	28	4	0
tRNA dihydrouridine synthase DUS3FUNC_PR58990	15	2	0	8	11	0	6	13	12	23	7	0
tRNA dihydrouridine synthase DusBFUNC_PR58991	28	43	0	1	33	142	2	1	2	39	0	31
tRNA dihydrouridine synthase DusB, partialFUNC_PR58992	0	0	0	0	0	1	0	0	0	1	0	0
tRNA dihydrouridine(16) synthase DusCFUNC_PR58993	0	0	0	0	0	11	0	0	0	2	0	1
tRNA dihydrouridine(20/20a) synthase DusAFUNC_PR58994	13	2	0	1	1	16	2	0	0	3	0	3
tRNA dihydrouridine(20/20a) synthase DusA, partialFUNC_PR58995	0	0	0	0	0	5	0	0	0	0	0	0
tRNA dimethylallyltransferaseFUNC_PR58996	1	3	0	10	7	2	4	12	17	48	6	4
tRNA dimethylallyltransferase, partialFUNC_PR58997	0	0	0	0	2	1	0	0	0	0	0	0
tRNA epoxyqueuosine(34) reductase QueGFUNC_PR58998	13	21	0	0	3	57	1	1	0	5	1	1
tRNA epoxyqueuosine(34) reductase QueG, partialFUNC_PR58999	0	3	0	0	1	1	1	0	0	0	1	0
tRNA glutamyl-Q synthetaseFUNC_PR59000	0	0	0	0	0	0	0	0	0	1	0	0
tRNA glutamyl-Q(34) synthetase GluQRSFUNC_PR59001	19	31	0	1	15	62	0	1	0	13	2	16
tRNA guanosine(15) transglycosylase TgtAFUNC_PR59002	3	4	0	0	0	0	0	1	0	3	0	10
tRNA guanosine(34) transglycosylase TgtFUNC_PR59003	6	24	0	3	6	28	1	1	0	16	0	8
tRNA guanosine(34) transglycosylase Tgt, partialFUNC_PR59004	0	0	0	0	0	1	0	0	0	0	0	1
